attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
ArcFace,Facenet512,ATT,30,26.666666666666668,0.22597774922226865
ArcFace,GhostFaceNet,ATT,30,26.666666666666668,0.11334652736162146
ArcFace,IR152,ATT,30,6.666666666666667,0.16036785207688808
ArcFace,VGG-Face,ATT,30,23.333333333333332,0.11445488644142947
Facenet512,ArcFace,ATT,30,36.666666666666664,0.19364831413452824
Facenet512,GhostFaceNet,ATT,30,36.666666666666664,0.11176527021452784
Facenet512,IR152,ATT,30,16.666666666666664,0.20661549596115947
Facenet512,VGG-Face,ATT,30,50.0,0.18523280657827854
GhostFaceNet,ArcFace,ATT,30,26.666666666666668,0.10345668864126008
GhostFaceNet,Facenet512,ATT,30,6.666666666666667,0.12197075964262089
GhostFaceNet,IR152,ATT,30,6.666666666666667,0.12285908268143733
GhostFaceNet,VGG-Face,ATT,30,13.333333333333334,0.059036333548525985
VGG-Face,ArcFace,ATT,30,50.0,0.21292516809577747
VGG-Face,Facenet512,ATT,30,53.333333333333336,0.4091735245039066
VGG-Face,GhostFaceNet,ATT,30,36.666666666666664,0.11933263375734289
VGG-Face,IR152,ATT,30,10.0,0.17264606586347023
